============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------
picorv32                                                                        18090  76193.185   223.034    76416.219 
  genblk1.pcpi_mul                               picorv32_pcpi_fast_mul          6523  18665.714     0.000    18665.714 
    mul_2366_47                                  mult_signed                     6316  17053.930     0.000    17053.930 
    mux_2406_19                                  bmux_969                          32    170.927     0.000      170.927 
    mux_cmbsop_instr_mul_2350_10                 mux                                4     53.415     0.000       53.415 
    mux_active_2392_7                            bmux_971                           4     21.366     0.000       21.366 
    ctl_2350_10                                  case_box                           9     20.030     0.000       20.030 
    g1                                           or_op                              2      6.677     0.000        6.677 
    mux_active_2374_21                           bmux                               1      5.341     0.000        5.341 
    mux_rs1_2375_8                               bmux                               1      5.341     0.000        5.341 
    mux_rs2_2380_8                               bmux                               1      5.341     0.000        5.341 
    mux_instr_mul_2349_14                        bmux                               1      5.341     0.000        5.341 
    mux_instr_mulh_2349_14                       bmux                               1      5.341     0.000        5.341 
    mux_instr_mulhsu_2349_14                     bmux                               1      5.341     0.000        5.341 
    mux_instr_mulhu_2349_14                      bmux                               1      5.341     0.000        5.341 
    g2                                           or_op_1                            2      5.341     0.000        5.341 
    g3                                           or_op_2                            2      4.006     0.000        4.006 
  genblk2.pcpi_div                               picorv32_pcpi_div               2066   7542.134     0.000     7542.134 
    sub_2494_26                                  sub_unsigned_984                 459   1041.584     0.000     1041.584 
    lte_2493_16                                  leq_unsigned                     253    580.883     0.000      580.883 
    mux_pcpi_rd_2464_7                           mux_999                           32    512.780     0.000      512.780 
    minus_2470_59                                sub_unsigned_986                 178    388.591     0.000      388.591 
    minus_2469_59                                sub_unsigned                     172    373.902     0.000      373.902 
    minus_2490_26                                sub_unsigned                     172    373.902     0.000      373.902 
    minus_2488_26                                sub_unsigned                     172    373.902     0.000      373.902 
    mux_divisor_2467_7                           bmux_995                          63    336.512     0.000      336.512 
    mux_2470_41                                  bmux_995                          63    336.512     0.000      336.512 
    mux_dividend_2467_7                          bmux_969                          32    170.927     0.000      170.927 
    mux_quotient_msk_2467_7                      bmux_969                          32    170.927     0.000      170.927 
    mux_2488_16                                  bmux_969                          32    170.927     0.000      170.927 
    mux_quotient_2467_7                          bmux_969                          32    170.927     0.000      170.927 
    mux_2469_41                                  bmux_969                          32    170.927     0.000      170.927 
    g30                                          or_op_36                          32     85.463     0.000       85.463 
    g23                                          or_op_29                          12     57.421     0.000       57.421 
    mux_cmbsop_instr_div_2440_10                 mux                                4     53.415     0.000       53.415 
    ctl_2440_10                                  case_box_45                        9     20.030     0.000       20.030 
    g1                                           or_op_10                           2      6.677     0.000        6.677 
    mux_pcpi_ready_2464_7                        bmux                               1      5.341     0.000        5.341 
    mux_pcpi_ready_2467_7                        bmux                               1      5.341     0.000        5.341 
    mux_running_2464_7                           bmux                               1      5.341     0.000        5.341 
    mux_running_2467_7                           bmux                               1      5.341     0.000        5.341 
    mux_pcpi_wr_2464_7                           bmux                               1      5.341     0.000        5.341 
    mux_pcpi_wr_2467_7                           bmux                               1      5.341     0.000        5.341 
    mux_pcpi_wr_2475_21                          bmux                               1      5.341     0.000        5.341 
    mux_instr_div_2439_75                        bmux                               1      5.341     0.000        5.341 
    mux_instr_divu_2439_75                       bmux                               1      5.341     0.000        5.341 
    mux_instr_rem_2439_75                        bmux                               1      5.341     0.000        5.341 
    mux_instr_remu_2439_75                       bmux                               1      5.341     0.000        5.341 
